"","x"
"1362","217430"
"1363","217444"
"1364","217456"
"1365","217457"
"1366","217461"
"1367","217465"
"1368","217471"
"1369","217475"
"1370","217476"
"1371","217480"
"1372","217481"
"1373","217483"
"1374","217489"
"1375","217491"
"1376","217495"
"1377","217496"
"1378","217497"
"1379","217501"
"1380","217503"
"1381","217508"
"1382","217513"
"1383","217516"
"1384","217518"
"1385","217521"
"1386","217525"
"1387","217526"
"1388","217527"
"1389","217531"
"1390","217534"
"1391","217539"
"1392","217541"
"1393","217542"
"1394","217995"
"1395","218218"
"1396","218383"
"1397","218397"
"1398","218446"
"1399","218452"
"1400","218457"
"1401","218461"
"1402","218462"
"1403","218463"
"1404","218468"
"1405","218469"
"1406","218471"
"1407","218472"
"1408","218480"
"1409","218481"
"1410","218484"
"1411","218486"
"1412","218487"
"1413","218488"
"1414","218492"
"1415","218493"
"1416","218495"
"1417","218497"
"1418","218500"
"1419","218506"
"1420","218507"
"1421","218512"
"1422","218513"
"1423","218517"
"1424","218521"
"1425","218522"
"1426","218523"
"1427","218529"
"1428","218530"
"1429","218531"
"1430","218532"
"1431","218533"
"1432","218534"
"1433","218536"
"1434","218537"
"1435","218544"
"1436","218548"
"1437","218558"
"1438","218559"
"1439","218560"
"1440","219115"
"1441","219146"
"1442","219424"
"1443","219433"
"1444","219464"
"1445","219477"
"1446","219478"
"1447","219481"
"1448","219486"
"1449","219487"
"1450","219491"
"1451","219492"
"1452","219493"
"1453","219504"
"1454","219511"
"1455","219515"
"1456","219516"
"1457","219518"
"1458","219520"
"1459","219524"
"1460","219526"
"1461","219529"
"1462","219531"
"1463","219532"
"1464","219533"
"1465","219537"
"1466","219538"
"1467","219546"
"1468","219549"
"1469","219553"
"1470","219554"
"1471","219555"
"1472","219556"
"1473","219558"
"1474","219559"
"1475","219561"
"1476","219565"
"1477","219569"
"1478","219573"
"1479","219578"
"1480","219583"
"1481","219585"
"1482","219588"
"1483","219593"
"1484","219594"
"1485","219595"
"1486","219600"
"1487","219608"
"1488","219609"
"1489","220114"
"1490","220151"
"1491","220283"
"1492","220457"
"1493","220473"
"1494","220479"
"1495","220487"
"1496","220494"
"1497","220495"
"1498","220497"
"1499","220499"
"1500","220501"
"1501","220505"
"1502","220508"
"1503","220512"
"1504","220513"
"1505","220527"
"1506","220529"
"1507","220532"
"1508","220534"
"1509","220537"
"1510","220538"
"1511","220539"
"1512","220541"
"1513","220544"
"1514","220546"
"1515","220548"
"1516","220551"
"1517","220552"
"1518","220554"
"1519","220555"
"1520","220556"
"1521","220557"
"1522","220558"
"1523","220561"
"1524","220562"
"1525","220563"
"1526","220570"
"1527","220580"
"1528","220597"
"1529","220633"
"1530","220644"
"1531","220790"
"1532","220809"
"1533","220947"
"1534","220993"
"1535","221171"
"1536","221293"
"1537","221294"
"1538","221307"
"1539","221315"
"1540","221332"
"1541","221488"
"1542","221677"
"1543","221678"
"1544","221957"
"1545","221984"
"1546","221987"
"1547","222016"
"1548","222022"
"1549","222316"
"1550","222322"
"1551","222355"
"1552","222497"
"1553","222661"
"1554","222671"
"1555","222717"
"1556","222764"
"1557","223058"
"1558","223082"
"1559","223083"
"1560","223118"
"1561","223144"
"1562","223696"
"1563","224526"
"1564","224527"
"1565","224604"
"1566","225459"
"1567","225508"
"1568","226575"
"1569","226647"
"1570","226666"
"1571","226741"
"1572","228539"
"1573","228545"
"1574","228558"
"1575","228638"
"1576","229578"
"1577","229710"
"1578","230494"
"1579","230597"
"1580","230606"
"1581","230607"
"1582","231544"
"1583","231910"
"1584","232136"
"1585","232140"
"1586","232549"
"1587","232574"
"1588","232575"
"1589","232752"
"1590","232759"
"1591","233011"
"1592","233219"
"1593","233338"
"1594","233348"
"1595","233353"
"1596","233458"
"1597","233464"
"1598","233504"
"1599","233521"
"1600","233776"
"1601","233923"
"1602","234503"
"1603","234552"
"1604","234657"
"1605","234763"
"1606","234934"
"1607","234949"
"1608","235233"
"1609","235659"
"1610","235670"
"1611","235674"
"1612","236619"
"1613","236986"
"1614","237152"
"1615","237211"
"1616","237213"
"1617","237898"
"1618","237951"
"1619","239350"
"1620","239530"
"1621","239743"
"1622","239754"
"1623","239832"
"1624","239843"
"1625","239911"
"1626","240800"
"1627","241782"
"1628","242809"
"1629","243801"
"1630","244681"
"1631","245077"
"1632","245322"
"1633","246088"
"1634","246124"
"1635","246719"
"1636","246720"
"1637","246832"
"1638","247031"
"1639","247357"
"1640","247445"
"1641","248027"
"1642","248156"
"1643","248157"
"1644","248183"
"1645","249911"
"1646","250531"
"1647","250937"
"1648","250979"
"1649","251309"
"1650","251713"
"1651","251958"
"1652","251997"
"1653","252302"
"1654","252411"
"1655","252591"
"1656","252774"
"1657","252886"
"1658","253460"
"1659","253479"
"1660","253635"
"1661","253854"
"1662","255628"
"1663","255757"
"1664","256006"
"1665","256028"
"1666","115170"
"1667","84325"
"1668","121513"
"1669","135077"
"1670","45883"
"1671","10316"
"1672","56243"
"1673","97746"
"1674","128815"
"1675","12391"
"1676","110003"
"1677","71661"
"1678","57284"
"1679","10310"
"1680","3600"
"1681","21768"
"1682","1340"
"1683","1494"
"1684","137053"
"1685","31219"
"1686","121508"
"1687","534"
"1688","123609"
"1689","94685"
"1690","107942"
"1691","14434"
"1692","5509"
"1693","114080"
"1694","60351"
"1695","1469"
"1696","106943"
"1697","3820"
"1698","83234"
"1699","32270"
"1700","40828"
"1701","9262"
"1702","1314"
"1703","46911"
"1704","227"
"1705","74829"
"1706","37458"
"1707","65581"
"1708","101800"
"1709","57273"
"1710","23967"
"1711","113142"
"1712","105948"
"1713","129877"
"1714","2397"
"1715","41761"
"1716","80126"
"1717","98774"
"1718","50057"
"1719","13384"
"1720","82177"
"1721","96680"
"1722","1866"
"1723","139161"
"1724","12398"
"1725","76931"
"1726","121521"
"1727","105955"
"1728","45858"
"1729","109005"
"1730","112108"
"1731","126764"
"1732","109009"
"1733","34302"
"1734","70688"
"1735","114089"
"1736","111070"
"1737","132985"
"1738","58317"
"1739","91564"
"1740","71676"
"1741","88499"
"1742","104874"
"1743","71670"
"1744","128826"
"1745","19624"
"1746","35332"
"1747","120457"
"1748","112117"
"1749","63524"
"1750","85317"
"1751","21783"
"1752","134044"
"1753","95707"
"1754","128802"
"1755","137030"
"1756","77991"
"1757","3156"
"1758","3715"
"1759","38528"
"1760","100775"
"1761","106958"
"1762","25016"
"1763","13405"
"1764","42849"
"1765","1160"
"1766","77984"
"1767","29091"
"1768","26043"
"1769","66629"
"1770","116258"
"1771","2614"
"1772","122578"
"1773","140172"
"1774","41775"
"1775","1009"
"1776","103870"
"1777","21789"
"1778","45897"
"1779","114131"
"1780","127777"
"1781","31233"
"1782","70692"
"1783","121538"
"1784","67661"
"1785","74845"
"1786","90587"
"1787","81155"
"1788","45896"
"1789","24996"
"1790","31237"
"1791","51102"
"1792","43867"
"1793","75906"
"1794","139141"
"1795","62435"
"1796","41780"
"1797","28071"
"1798","128797"
"1799","132928"
"1800","41790"
"1801","85367"
"1802","16500"
"1803","49014"
"1804","41813"
"1805","67690"
"1806","78011"
"1807","3258"
"1808","81190"
"1809","70715"
"1810","74872"
"1811","103899"
"1812","19691"
"1813","81204"
"1814","1161"
"1815","2916"
"1816","72752"
"1817","50104"
"1818","120492"
"1819","140140"
"1820","106991"
"1821","121560"
"1822","97811"
"1823","76972"
"1824","73812"
"1825","10352"
"1826","54303"
"1827","10378"
"1828","257161"
"1829","48005"
"1830","98836"
"1831","121628"
"1832","80235"
"1833","97853"
"1834","80224"
"1835","73884"
"1836","41887"
"1837","104968"
"1838","9158"
"1839","75982"
"1840","119476"
"1841","92701"
"1842","47002"
"1843","80209"
"1844","55307"
"1845","33321"
"1846","36568"
"1847","16549"
"1848","41879"
"1849","101904"
"1850","92708"
"1851","77012"
"1852","112249"
"1853","2566"
"1854","13506"
"1855","16554"
"1856","6373"
"1857","33353"
"1858","12520"
"1859","69806"
"1860","89662"
"1861","125845"
"1862","89663"
"1863","82280"
"1864","16551"
"1865","85419"
"1866","140073"
"1867","50176"
"1868","132855"
"1869","28145"
"1870","77030"
